geneid, patientid, expression value
0, 0, 701679.35
0, 1, 273049.65
0, 2, 1131730.77
0, 3, 342568.94
0, 4, 704459.42
0, 5, 559688.30
0, 6, 827243.14
0, 7, 1572520.89
0, 8, -75895.16
0, 9, 1557420.41
1, 0, 1059009.41
1, 1, 1759867.22
1, 2, 1014841.83
1, 3, 956792.87
1, 4, 1632339.46
1, 5, 400164.45
1, 6, 443293.92
1, 7, 1129385.10
1, 8, 1352812.82
1, 9, 1378835.06
2, 0, 400180.11
2, 1, 33519.28
2, 2, 1095396.24
2, 3, 1380594.78
2, 4, 547034.49
2, 5, 982366.33
2, 6, 597800.89
2, 7, 1356617.61
2, 8, 1397085.73
2, 9, 522170.98
3, 0, 1523854.51
3, 1, 939658.12
3, 2, 1652382.09
3, 3, -73008.92
3, 4, 398399.59
3, 5, 1361912.34
3, 6, 489926.25
3, 7, 1552733.62
3, 8, 370435.80
3, 9, 1464300.46
4, 0, 79014.80
4, 1, 1448185.60
4, 2, 1464580.74
4, 3, -77610.44
4, 4, 1744518.97
4, 5, 710801.69
4, 6, 532329.21
4, 7, 1996991.89
4, 8, 783668.20
4, 9, 864535.18
5, 0, 1585226.45
5, 1, 81770.99
5, 2, 1347389.28
5, 3, 1660626.58
5, 4, 1136762.51
5, 5, -172352.43
5, 6, -80977.25
5, 7, 771106.13
5, 8, 1688594.09
5, 9, -60323.78
6, 0, 795496.77
6, 1, 300611.88
6, 2, 1542310.83
6, 3, 1188374.46
6, 4, 1064046.64
6, 5, 508369.62
6, 6, 1340681.54
6, 7, 1079284.75
6, 8, -184814.05
6, 9, 1017725.20
7, 0, 1424510.29
7, 1, 1141231.43
7, 2, 1068952.23
7, 3, 1471997.69
7, 4, 600760.22
7, 5, 1957764.26
7, 6, 533077.74
7, 7, -46983.96
7, 8, 18590.10
7, 9, 787769.19
8, 0, 1100542.14
8, 1, 1767894.45
8, 2, 1589373.56
8, 3, 579907.08
8, 4, 1748054.74
8, 5, 685576.16
8, 6, 1569083.10
8, 7, 314901.38
8, 8, 1739020.39
8, 9, 1180689.57
9, 0, 729631.72
9, 1, 1474635.96
9, 2, 499917.94
9, 3, 805029.69
9, 4, 775271.28
9, 5, 1061021.29
9, 6, 910602.89
9, 7, 124343.53
9, 8, 218203.04
9, 9, 1129232.99
