id, target, position, length, function
0, -1, 1215828215, 249, 227
1, -1, 2724450579, 238, 511
2, -1, 985001085, 488, 249
3, -1, 775942789, 598, 96
4, -1, 2653552106, 599, 275
5, -1, 597931394, 561, 881
6, -1, 877361849, 410, 755
7, 39, 2799938773, 470, 853
8, -1, 1889981090, 563, 425
9, -1, 1564141508, 614, 351
10, 13, 2866565280, 836, 300
11, -1, 2882109431, 740, 732
12, 79, 2319636244, 876, 900
13, 24, 2887335391, 121, 251
14, 21, 2037434660, 979, 679
15, 99, 2270917451, 587, 408
16, 58, 2091264249, 953, 582
17, 49, 2871790491, 339, 267
18, 60, 2029919414, 749, 385
19, 96, 2327961482, 305, 742
20, -1, 2257738575, 663, 266
21, -1, 1081121104, 226, 710
22, -1, 853256403, 720, 585
23, -1, 2121367006, 270, 454
24, 22, 1731916616, 380, 292
25, -1, 1190818010, 360, 710
26, -1, 284590365, 714, 220
27, 83, 1054712948, 506, 846
28, -1, 1559415023, 169, 655
29, -1, 944633103, 139, 834
30, -1, 636474017, 954, 535
31, -1, 227946148, 125, 197
32, 76, 2891554409, 568, 197
33, 72, 1246955179, 784, 882
34, 95, 2157748786, 536, 994
35, 63, 1277442471, 942, 141
36, -1, 949304112, 911, 917
37, 6, 2239737631, 189, 613
38, -1, 2843364099, 477, 12
39, -1, 211835525, 450, 137
40, 14, 2141448022, 202, 899
41, -1, 1708561426, 929, 41
42, 99, 1358610567, 108, 627
43, -1, 204660467, 786, 541
44, 95, 2390360695, 151, 1
45, 54, 460267273, 149, 783
46, -1, 112335651, 589, 525
47, 9, 970492149, 584, 706
48, 62, 2891471076, 46, 708
49, 65, 22406572, 201, 72
50, -1, 812370010, 76, 403
51, -1, 1023808433, 832, 989
52, 89, 1759682684, 104, 605
53, -1, 1192856754, 484, 666
54, -1, 1805343207, 759, 612
55, -1, 1219150064, 51, 61
56, -1, 2033639943, 721, 972
57, -1, 1769897425, 354, 101
58, -1, 770201736, 880, 198
59, -1, 1234255967, 230, 267
60, 57, 693860311, 566, 532
61, -1, 1578812818, 577, 719
62, -1, 2049519244, 909, 851
63, -1, 1869306541, 748, 205
64, 72, 1076636124, 649, 724
65, 17, 1313198455, 536, 698
66, 47, 2846681521, 518, 256
67, 19, 2139108421, 601, 84
68, -1, 1603303513, 892, 164
69, -1, 2697922663, 740, 780
70, 62, 477328577, 88, 38
71, -1, 1702739430, 108, 106
72, -1, 600951334, 60, 569
73, 58, 1241725128, 417, 758
74, 16, 2234194724, 810, 253
75, 7, 1654127547, 144, 252
76, -1, 2914551765, 776, 588
77, 28, 880042913, 526, 348
78, -1, 1204654695, 410, 336
79, -1, 26244951, 657, 737
80, -1, 536222684, 586, 53
81, 77, 530034623, 279, 753
82, -1, 2151688577, 701, 860
83, -1, 2173542440, 880, 713
84, -1, 764322800, 891, 543
85, 23, 501767599, 362, 598
86, 21, 1743947947, 965, 650
87, 67, 1384858174, 270, 293
88, -1, 2640754884, 726, 636
89, 74, 678241950, 755, 134
90, 12, 523813278, 454, 498
91, -1, 2145039349, 105, 878
92, 84, 1439575576, 662, 491
93, -1, 1693868951, 719, 661
94, -1, 2630359326, 254, 38
95, -1, 2497889513, 170, 628
96, 58, 1291609593, 266, 753
97, 76, 2378603980, 665, 678
98, 9, 1449091440, 635, 744
99, -1, 1211134463, 392, 317
